Sexo;Tipo de discapacidad;Tipo de indicador;Personas con discapacidad;año;Total
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;22.040,7
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;21.544,2
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;20.799,3
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;20.574,1
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;19.946,2
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;19.726,2
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;19.297,6
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;19.569,6
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;19.023,1
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;19.138,6
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;19.505,8
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;20.337,4
Ambos sexos;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;20.553,3
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;14,6
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,3
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;13,9
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;13,7
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;13,1
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;12,9
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;12,7
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;13,0
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;12,3
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;12,6
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;12,8
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;13,2
Ambos sexos;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;13,1
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;23.796,2
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;23.240,7
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;22.344,1
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;21.616,4
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;20.977,7
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;20.841,3
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;20.314,0
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;20.593,6
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;20.075,7
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;19.914,6
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;20.325,2
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;21.469,5
Ambos sexos;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;21.559,7
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;15,7
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;15,2
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;14,7
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;14,3
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;13,7
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;13,5
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;13,3
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;13,6
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;12,9
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;13,2
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;13,3
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;13,9
Ambos sexos;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;13,7
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;15.025,4
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;13.730,6
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;13.705,9
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;13.136,9
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;11.563,0
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;12.197,7
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;11.764,8
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;12.353,0
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-11.619,5
